ra	dec	name
 184.706680	 14.416510	NGC4254 
 147.181800	 44.081440	NGC2998 
 12.006290	 8.297080	NGC257 
 135.565950	 16.838300	NGC2730 
 35.401960	 -5.521390	NGC895 
 219.638710	 50.815210	NGC5720 
 74.990830	 -26.022220	NGC1744 
 184.175500	 69.462580	NGC4236 
 128.047100	 22.560560	UGC4458 
 170.574550	 59.074510	NGC3642 
 259.682180	 58.135110	UGC10811 
 111.766870	 80.178080	NGC2336 
 20.599060	 -0.875210	NGC497 
 172.002530	 29.511060	NGC3687 
 257.136420	 42.339120	NGC6301 
 180.513130	 29.848000	UGC7012 
 224.148010	 30.234030	NGC5789 
 30.834170	 18.629610	PGC07826 
 180.790060	 44.531330	NGC4051 
 181.303230	 28.781890	PGC38268 
 183.575330	 59.615440	UGC7244 
 145.725960	 31.847390	NGC2964 
 185.418960	 11.499920	NGC4299 
 245.500800	 40.447870	PGC57931 
 319.115190	 -0.826490	NGC7047 
 72.190130	 -5.124800	IC2095 
 187.245880	 3.570580	NGC4457 
 192.056790	 -3.332710	NGC4691 
 143.025920	 8.441770	NGC2906 
 20.798330	 33.529170	NGC496 
 10.884980	 14.342560	NGC234 
 1.102270	 31.472060	NGC7819 
 331.968310	 31.359350	NGC7217 
 190.985750	 13.126680	NGC4654 
 159.691080	 53.503380	UGC5786 
 175.319290	 47.690820	NGC3811 
 147.916670	 65.491080	PGC28401 
 187.913380	 3.939470	NGC4496A 
 359.349960	 30.992170	UGC12864 
 165.796710	 27.972500	NGC3504 
 239.634750	 17.441470	IC1151 
 36.103370	 -2.162360	UGC1862 
 116.161420	 40.366360	UGC3997 
 199.051340	 30.950320	NGC5056 
 9.490420	 8.635190	NGC180 
 188.415460	 9.175020	NGC4522 
 126.132790	 54.853890	UGC4380 
 40.669630	 -0.013280	NGC1068 
 178.488110	 -23.164180	NGC3955 
 35.276540	 23.600360	PGC08941 
 349.798540	 8.109310	IC5309 
 210.802270	 54.348950	NGC5457 
 29.977040	 23.644390	NGC776 
 234.175670	 43.539330	IC 4566 
 188.711960	 15.551710	NGC4540 
 193.440420	 -6.622170	NGC4775 
 182.046300	 2.878280	NGC4123 
 116.834500	 26.930170	NGC2449 
 216.902540	 41.257750	NGC5630 
 73.487040	 3.593470	PGC16274 
 107.927830	 72.169310	UGC3701 
 192.191130	 35.332700	NGC4711 
 175.023940	 45.942170	UGC6628 
 40.874990	 37.341340	NGC1058 
 183.342490	 28.510980	NGC4185 
 153.440740	 3.424970	NGC3166 
 267.159790	 51.157250	NGC6478 
 202.969120	 20.001170	UGC8516 
 132.318310	 36.119800	PGC24788 
 259.198870	 61.920130	UGC10796 
 36.268420	 -24.788170	NGC922 
 47.127960	 20.772230	IRAS03056+2034 
 178.206040	 44.120720	NGC3938 
 188.860220	 14.496340	NGC4548 
 36.820330	 33.579170	NGC925 
 349.719210	 6.877220	UGC12494 
 131.034460	 34.717250	UGC4555 
